,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,,1,0,,S,Third,man,True,Southampton,no,False,1
1,1,1,female,-0.1665327871252423,1,0,-0.3519051436445636,C,First,woman,False,Cherbourg,yes,False,1
2,1,3,female,,0,0,,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,-0.5647382184268394,1,0,-1.0261037067608392,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,-0.5647382184268394,0,0,,S,Third,man,True,Southampton,no,True,0
5,0,3,male,-2.562111192710642,0,0,,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,0.8457485011818465,0,0,-1.0938495688591778,S,First,man,True,Southampton,no,True,0
8,1,3,female,,0,2,,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,,1,0,,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,,1,1,,S,Third,child,False,Southampton,yes,False,2
12,0,3,male,,0,0,,S,Third,man,True,Southampton,no,True,0
13,0,3,male,-0.0626305526715434,1,5,,S,Third,man,True,Southampton,no,False,6
14,0,3,female,,0,0,,S,Third,child,False,Southampton,no,True,0
17,1,2,male,-2.562111192710642,0,0,,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,-1.6208655753526766,1,0,,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,-2.562111192710642,0,0,,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,-0.5647382184268394,0,0,,S,Second,man,True,Southampton,no,True,0
21,1,2,male,-0.742729132601683,0,0,,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,,0,0,,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,,0,0,-3.708265835293191,S,First,man,True,Southampton,yes,True,0
24,0,3,female,,3,1,,S,Third,child,False,Southampton,no,False,4
25,1,3,female,-0.1665327871252423,1,5,,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,-2.562111192710642,0,0,,C,Third,man,True,Cherbourg,no,True,0
27,0,1,male,,3,2,1.4679450997284458,S,First,man,True,Southampton,no,False,5
28,1,3,female,-2.562111192710642,0,0,,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,-2.562111192710642,0,0,,S,Third,man,True,Southampton,no,True,0
30,0,1,male,0.031484904179183065,0,0,,C,First,man,True,Cherbourg,no,True,0
31,1,1,female,-2.562111192710642,1,0,0.7564220624543416,C,First,woman,False,Cherbourg,yes,False,1
32,1,3,female,-2.562111192710642,0,0,,Q,Third,woman,False,Queenstown,yes,True,0
